Barcode,Title,Author,Cover URL
GR/16810,The Berlin Stories: The Last of Mr Norris/Goodbye to Berlin,Christopher Isherwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388792046i/16810._SY75_.jpg
GR/113091,A Death in the Family,James Agee,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327885315i/113091._SY75_.jpg
GR/395058,The Recognitions,William Gaddis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309209622i/395058._SY75_.jpg
GR/380364,Dog Soldiers,Robert  Stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306365286i/380364._SY75_.jpg
GR/3068,The Assistant,Bernard Malamud,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411778913i/3068._SY75_.jpg
GR/771507,Loving,Henry Green,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358882664i/771507._SY75_.jpg
GR/11324,Under the Net,Iris Murdoch,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388423609i/11324._SY75_.jpg
GR/16113,"A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time, #1-3)",Anthony Powell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388441393i/16113._SY75_.jpg
GR/331319,An American Tragedy,Theodore Dreiser,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309283443i/331319._SY75_.jpg
GR/722367,Falconer,John Cheever,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339091605i/722367._SY75_.jpg
GR/91494,The Death of the Heart,Elizabeth Bowen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497190244i/91494._SY75_.jpg
